Date,Open,High,Low,Close,Adj Close,Volume
04-02-20,15.29,15.5,15.255,15.45,15.210948,1860907
05-02-20,15.42,15.625,15.395,15.56,15.319247,2435956
06-02-20,15.55,15.785,15.55,15.71,15.466926,2242463
07-02-20,15.665,15.705,15.42,15.525,15.284787,1672655
10-02-20,15.5,15.52,15.39,15.415,15.17649,1247000
11-02-20,15.45,15.595,15.245,15.54,15.299556,2191348
12-02-20,15.52,15.82,15.485,15.705,15.462003,2447817
13-02-20,15.585,15.715,15.535,15.695,15.452157,1655062
14-02-20,15.85,15.92,15.765,15.855,15.609682,1746854
17-02-20,15.91,15.96,15.76,15.765,15.521075,1643029
18-02-20,15.965,16.379999,15.945,16.32,16.067488,4725049
19-02-20,16.35,16.35,16.014999,16.07,15.821355,2621239
20-02-20,16.025,16.205,15.98,16.125,15.875504,1910456
21-02-20,16.040001,16.184999,15.995,16.129999,15.880426,1942370
24-02-20,15.86,15.88,15.585,15.72,15.476771,4689289
25-02-20,16.09,16.110001,15.765,15.835,15.589992,4273214
26-02-20,15.755,16.08,15.59,16.08,15.831201,4910077
27-02-20,16.200001,16.77,15.86,16.075001,15.826279,6651246
28-02-20,15.755,15.975,15.405,15.645,15.402932,7018045
02-03-20,15.81,16.34,15.575,16.290001,16.037952,6388325
03-03-20,16.5,16.59,16.285,16.33,16.077333,5460777
04-03-20,16.41,16.915001,16.25,16.889999,16.628668,5400078
05-03-20,16.915001,16.915001,16.445,16.549999,16.293928,4116075
06-03-20,16.32,16.445,15.485,15.605,15.36355,6497542
09-03-20,14.86,15.105,14.495,14.595,14.369178,7858461
10-03-20,14.725,14.895,13.985,13.985,13.768616,6579746
11-03-20,14.125,14.55,14.08,14.125,13.906449,5246914
12-03-20,13.405,13.72,12.195,12.325,12.1343,11657312
13-03-20,12.935,13.5,12.605,13.03,12.828392,9060227
16-03-20,12.36,13.095,12.25,12.87,12.670868,8376612
17-03-20,13.635,14.365,12.885,14.36,14.137814,9527547
18-03-20,14.235,15.335,13.9,14.415,14.191962,6560458
19-03-20,14.57,14.805,13.805,14.445,14.221498,5985627
20-03-20,14.8,14.815,13.715,13.715,13.502793,8153121
23-03-20,13.505,14.26,13.1,13.545,13.335423,5547528
